,7900488 / MIR30E,7923976 / C1orf132///MIR29B2,7971661 / MIR15A,7976832 / MIR323A,8008885 / MIR21,8045453 / MIR128-1,8084755 / MIR28,8087881 / MIRLET7G,8163107 / MIR32,8175248 / MIR92A2
67.GSM1448479.M,7.77342,4.96174,6.69646,3.80165,9.92145,5.91702,4.98325,8.16981,7.81133,2.87705
67.GSM1448483.M, 7.39167, 5.21869, 7.12373, 3.52198, 9.68851, 5.57738, 5.73301, 7.25530, 7.53353, 3.03676
67.GSM1448485.M, 7.64493, 5.47972, 7.13013, 3.13276,10.60490, 5.63217, 5.27701, 8.14422, 7.44831, 2.64988
67.GSM1448489.M, 7.90441, 5.30644, 7.22394, 3.07508,10.72840, 6.10593, 5.75147, 8.06690, 8.59031, 2.81122
67.GSM1448493.M, 7.73122, 5.49388, 6.69097, 3.63035,10.95440, 5.70887, 5.63748, 7.99690, 7.27547, 2.60305
67.GSM1448497.M, 7.67123, 5.84172, 6.98805, 2.95442, 9.90431, 5.90644, 5.59195, 8.01298, 7.84439, 2.53991
67.GSM1448501.M, 7.92068, 5.68473, 7.22794, 3.12559,10.39710, 5.55438, 5.47760, 7.83078, 7.42512, 2.66944
67.GSM1448505.M, 8.02278, 5.96253, 7.62446, 3.22301,10.43690, 5.94637, 5.80227, 7.21696, 7.87110, 2.88479
67.GSM1448508.M, 7.21494, 5.58437, 7.13284, 3.19990,10.85950, 5.75716, 5.34927, 7.27736, 7.42753, 2.86493
67.GSM1448512.M, 7.51424, 5.50760, 6.46333, 3.08364,10.22760, 5.69628, 5.47485, 8.11151, 7.93117, 2.65467
67.GSM1448516.M, 7.18707, 5.86577, 7.32937, 3.40651,10.80600, 5.71849, 5.63594, 8.35632, 8.29433, 2.85972
67.GSM1448519.M, 7.54151, 5.84402, 6.71531, 3.18375,11.57000, 5.44855, 5.96055, 8.62080, 7.63292, 2.75363
67.GSM1448523.M, 7.45833, 5.84992, 7.31599, 3.27637,10.93090, 5.76354, 5.45942, 8.19718, 8.31107, 2.84922
67.GSM1448526.M, 7.38705, 5.67323, 6.98520, 3.23634,10.45390, 5.79492, 6.16557, 8.14896, 8.14593, 2.82694
67.GSM1448530.M, 7.74097, 6.02205, 6.63934, 3.27792, 9.44875, 5.90183, 5.90802, 8.49098, 8.73706, 2.73246
67.GSM1448534.M,7.19481,5.44100,6.79143,3.38227,9.11738,5.72921,4.99445,7.64420,7.91951,2.68952
67.GSM1448538.M, 7.61957, 5.56358, 7.23151, 3.22101,10.23880, 6.19977, 5.21674, 8.20476, 8.49587, 2.93655
67.GSM1448541.M, 7.70023, 6.04337, 7.15998, 3.58816, 9.88329, 5.81992, 5.50848, 7.90262, 8.44194, 2.79883
67.GSM1448545.M, 7.48758, 5.59935, 7.44781, 3.21992,10.87630, 5.96561, 5.36879, 8.30786, 7.95950, 2.62865
67.GSM1448548.M, 7.43794, 5.47500, 6.94695, 3.17202,11.17150, 5.78671, 5.43075, 7.93371, 7.69216, 2.59672
67.GSM1448552.M, 7.88783, 5.67848, 7.89373, 2.87042,10.71270, 5.93662, 6.03992, 7.64043, 7.35090, 2.67484
67.GSM1448554.M, 7.59519, 5.88097, 7.23023, 3.16523,10.03740, 6.11652, 5.64886, 7.84717, 8.34675, 2.47199
67.GSM1448558.M, 7.65591, 5.80696, 7.16721, 3.56354,11.53790, 5.90197, 5.70656, 8.29292, 7.57295, 2.69854
67.GSM1448561.M, 7.69626, 5.87428, 7.12009, 3.37369,11.35530, 5.76319, 5.85888, 7.96785, 7.81090, 2.68262
67.GSM1448564.M, 7.52546, 5.49513, 7.20871, 3.40256,10.44440, 5.80214, 5.43614, 7.82064, 7.90953, 2.80908
67.GSM1448568.M, 7.59770, 5.54760, 7.19234, 3.19879,10.64420, 6.18110, 5.64665, 7.89730, 8.64708, 2.60948
67.GSM1448572.M, 7.66997, 6.21534, 6.78614, 3.51599,11.24870, 5.74293, 5.48534, 7.73982, 7.83014, 2.96282
67.GSM1448576.M, 7.52688, 5.83742, 7.44925, 3.22834,10.68150, 6.01344, 5.73801, 7.86782, 8.11199, 2.80439
67.GSM1448580.M, 7.78945, 6.00345, 7.36581, 3.13908,10.45100, 5.98861, 5.20799, 7.84135, 8.21992, 2.85817
67.GSM1448584.M, 7.43622, 5.20050, 6.92259, 3.45599,10.44930, 6.05969, 4.69424, 7.19767, 7.12716, 2.76526
67.GSM1448587.M, 7.56607, 5.49838, 7.12577, 3.18907,11.13440, 5.90457, 5.18940, 7.69913, 7.66305, 2.56509
67.GSM1448590.M, 7.83488, 5.08714, 6.31571, 3.38997,10.51860, 5.59200, 5.39296, 7.21819, 6.82074, 2.73713
67.GSM1448594.M, 7.51555, 5.36777, 6.97754, 3.35939, 8.84121, 6.27437, 5.12240, 7.38445, 7.98287, 2.94555
67.GSM1448598.M, 7.58631, 6.11231, 7.58424, 3.03692,11.04530, 5.69677, 6.05846, 8.01216, 8.09169, 2.98619
67.GSM1448602.M, 7.93154, 5.52867, 7.49121, 3.25347,11.11690, 6.09490, 5.94967, 7.75942, 7.79295, 2.85623
67.GSM1448606.M, 7.74133, 5.64737, 7.37787, 2.87514,11.08370, 5.96213, 5.63299, 8.08323, 7.41904, 2.94942
67.GSM1448608.M, 8.36023, 5.93250, 7.09835, 3.13435,11.56580, 6.23641, 5.61891, 8.03600, 8.38785, 2.65467
67.GSM1448612.M, 7.51946, 5.68211, 7.47882, 3.13484,10.31460, 5.76065, 5.65684, 7.83880, 7.75840, 2.68748
67.GSM1448615.M, 7.64882, 5.56585, 7.52099, 3.04894,11.51510, 5.94212, 5.20231, 7.98378, 7.90701, 2.91746
67.GSM1448619.M, 8.13448, 5.90179, 7.17768, 3.31545,11.07890, 5.75341, 5.39528, 7.52082, 7.54362, 2.68235
67.GSM1448621.M, 7.89623, 5.59564, 8.12465, 3.40952,10.93580, 6.14549, 5.64751, 7.65026, 8.18055, 2.94625
67.GSM1448625.M, 8.08869, 5.79036, 8.24685, 3.50440,11.16090, 5.81350, 5.51842, 7.92772, 7.60781, 2.61471
67.GSM1448629.M, 7.66835, 5.42480, 7.20339, 3.40104,11.13030, 6.00690, 5.14799, 7.76791, 7.92982, 2.89340
67.GSM1448630.M, 7.74362, 6.02007, 7.58270, 3.70996, 9.56302, 5.83314, 5.20784, 7.79859, 7.72064, 2.72080
67.GSM1448634.M, 7.71921, 5.77059, 7.77437, 3.43432, 9.88381, 5.80112, 5.28120, 7.72290, 8.08766, 2.81600
67.GSM1448638.M, 8.07557, 5.60208, 7.27569, 3.19212,10.61640, 5.90165, 5.54253, 7.99429, 7.70865, 2.60197
67.GSM1448639.M, 7.60335, 5.27989, 7.09477, 3.52124, 9.88631, 5.91626, 5.10415, 7.28952, 7.51755, 2.73905
67.GSM1448642.M, 7.16827, 5.06479, 6.79100, 3.21661,10.36280, 5.89960, 5.03654, 7.71651, 7.61909, 2.61017
67.GSM1448646.M, 7.96345, 6.12484, 7.99177, 3.29758,10.89730, 5.47776, 5.56559, 7.91971, 7.64936, 2.79920
67.GSM1448650.M, 7.54673, 5.47874, 7.68737, 3.04168,10.49320, 6.12405, 5.42192, 8.59838, 8.50884, 2.81675
67.GSM1448654.M, 7.75805, 5.47107, 8.16608, 3.04670,10.13870, 6.04629, 5.61951, 8.00547, 7.75046, 2.75550
67.GSM1448658.M, 7.64186, 5.48960, 7.16292, 3.05018,10.64000, 6.28368, 5.47615, 8.04791, 8.25029, 2.71691
67.GSM1448662.M, 6.67100, 5.72611, 6.86199, 3.17739,10.47580, 6.18148, 5.63822, 8.28291, 8.23881, 2.70447
67.GSM1448666.M, 7.52917, 5.47095, 7.04899, 3.54401,10.31730, 5.63775, 4.81608, 7.01666, 7.30652, 2.60532
67.GSM1448670.M, 7.17434, 4.79761, 6.67851, 3.75318,10.56100, 5.91722, 4.88878, 7.12846, 7.35347, 2.92312
67.GSM1448672.M,7.66470,5.97220,7.40023,3.16738,9.97176,5.89769,5.60408,8.03651,8.32889,2.82146
67.GSM1448676.M, 7.57732, 5.22266, 7.55943, 2.92320,10.59020, 6.06277, 5.24041, 7.86545, 7.44940, 2.76307
67.GSM1448680.M, 7.70417, 5.37222, 7.02168, 3.22720,10.41230, 6.05669, 5.06994, 7.68060, 7.57465, 2.88174
67.GSM1448684.M,7.66909,5.07883,6.94660,3.44269,9.71760,6.09206,4.35935,7.35064,7.76881,2.76504
67.GSM1448688.M, 7.28279, 5.03038, 6.79280, 3.50317,10.90710, 6.04780, 4.70775, 7.48818, 7.69313, 2.90666
67.GSM1448692.M, 7.99497, 5.38263, 7.51072, 3.59480,10.20350, 6.12942, 5.02221, 7.78946, 7.38272, 2.74977
67.GSM1448695.M, 7.65205, 5.28206, 6.53101, 3.34083, 9.69576, 6.10561, 4.93732, 8.34561, 8.07359, 2.64361
67.GSM1448699.M, 8.02272, 5.44219, 7.00926, 3.90416,10.13670, 5.51335, 5.39138, 7.86031, 7.21948, 2.99306
67.GSM1448702.M, 7.79125, 5.45514, 7.01167, 3.27158, 9.86688, 6.10474, 5.51331, 8.12393, 8.07155, 2.77162
67.GSM1448706.M, 8.33615, 5.76157, 7.67706, 3.32127,10.60870, 6.13575, 5.54180, 7.85999, 7.52171, 2.88755
67.GSM1448710.M, 7.75258, 5.05114, 6.91633, 3.03802,10.68770, 5.88018, 5.17591, 7.85602, 7.54734, 2.74535
67.GSM1448714.M, 7.44196, 5.61777, 7.20940, 3.07154, 9.62076, 5.77214, 4.54227, 7.57502, 7.67765, 2.83612
67.GSM1448718.M, 7.46552, 5.24505, 7.26591, 3.29169,10.86230, 5.98083, 5.24932, 7.41389, 7.78652, 2.90503
67.GSM1448722.M, 8.21373, 5.68742, 6.92775, 3.22390,10.98130, 5.88881, 5.56522, 8.03691, 7.70611, 2.58584
